screen_no,start_sec,end_sec,start_hms,end_hms,file
181,1260.7595,1261.26,00:21:00,00:21:01,screen_0181.jpg
182,1261.26,1291.7904999999998,00:21:01,00:21:31,screen_0182.jpg
183,1291.7904999999998,1292.7914999999998,00:21:31,00:21:32,screen_0183.jpg
184,1292.7914999999998,1304.8035,00:21:32,00:21:44,screen_0184.jpg
185,1304.8035,1305.304,00:21:44,00:21:45,screen_0185.jpg
186,1305.304,1361.8605,00:21:45,00:22:41,screen_0186.jpg
187,1361.8605,1362.361,00:22:41,00:22:42,screen_0187.jpg
188,1362.361,1363.362,00:22:42,00:22:43,screen_0188.jpg
189,1363.362,1363.8625,00:22:43,00:22:43,screen_0189.jpg
190,1363.8625,1364.3629999999998,00:22:43,00:22:44,screen_0190.jpg
191,1364.3629999999998,1364.8635,00:22:44,00:22:44,screen_0191.jpg
192,1364.8635,1365.3639999999998,00:22:44,00:22:45,screen_0192.jpg
193,1365.3639999999998,1369.368,00:22:45,00:22:49,screen_0193.jpg
194,1369.368,1369.4097083333331,00:22:49,00:22:49,screen_0194.jpg
